Date,Symbol,Open,High,Low,Close,Volume
31-05-2010,MARUTI,1236,1240,1224.65,1236.85,233634
01-06-2010,MARUTI,1235,1297,1231.05,1257,1452405
02-06-2010,MARUTI,1261,1286,1261,1278.25,785644
03-06-2010,MARUTI,1288,1310,1287,1296.8,686347
04-06-2010,MARUTI,1304,1335,1290,1330.05,883335
07-06-2010,MARUTI,1282.1,1319.8,1280.8,1315.45,464373
08-06-2010,MARUTI,1319.9,1337.5,1286.5,1294.35,608641
09-06-2010,MARUTI,1295.65,1317.5,1290.05,1303,403149
10-06-2010,MARUTI,1316,1349.8,1296,1346.15,910604
11-06-2010,MARUTI,1347,1364,1340,1356.65,733725
14-06-2010,MARUTI,1364,1367,1344,1355.45,245161
15-06-2010,MARUTI,1355,1359.85,1332.1,1342.9,316340
16-06-2010,MARUTI,1349,1369.9,1332.6,1364.45,616333
17-06-2010,MARUTI,1369,1387,1356.5,1379.75,428095
18-06-2010,MARUTI,1374.7,1383,1347,1351.15,557649
21-06-2010,MARUTI,1362,1383,1358.65,1376.25,312694
22-06-2010,MARUTI,1367.5,1380,1360,1369.05,235521
23-06-2010,MARUTI,1365,1414,1360,1407.35,860773
24-06-2010,MARUTI,1410,1416.9,1371,1386.95,1361910
25-06-2010,MARUTI,1382,1421.9,1376,1396.8,1336002
28-06-2010,MARUTI,1398,1403.8,1380.35,1394.75,292395
29-06-2010,MARUTI,1390,1409.9,1380.25,1388.95,362725
30-06-2010,MARUTI,1370,1433.95,1370,1423.75,735102
01-07-2010,MARUTI,1424.3,1424.3,1380,1400.9,637323
02-07-2010,MARUTI,1400,1425.8,1381,1415.9,580326
05-07-2010,MARUTI,1415.9,1415.9,1392.2,1396.1,196977
06-07-2010,MARUTI,1396,1396,1385,1392.35,261295
07-07-2010,MARUTI,1392,1409.8,1372.25,1380,350245
08-07-2010,MARUTI,1392.2,1408.9,1387.9,1403.4,419025
09-07-2010,MARUTI,1400,1429.75,1395,1424.25,615302
12-07-2010,MARUTI,1435,1435,1405.8,1409.35,271217
13-07-2010,MARUTI,1415.05,1415.9,1391.05,1409.1,284452
14-07-2010,MARUTI,1417,1423.45,1386.6,1393.6,182512
15-07-2010,MARUTI,1415,1415,1371,1375.25,308916
16-07-2010,MARUTI,1372.9,1382.7,1364,1374.1,184121
19-07-2010,MARUTI,1335,1387.9,1335,1363.3,220018
20-07-2010,MARUTI,1395,1395,1351.1,1358.5,141510
21-07-2010,MARUTI,1369,1379.9,1359.1,1362.4,293180
22-07-2010,MARUTI,1379.9,1380,1345.25,1354.15,514174
23-07-2010,MARUTI,1365,1372.7,1346.3,1358.2,736077
26-07-2010,MARUTI,1302.3,1317.5,1126.85,1191.45,6485230
27-07-2010,MARUTI,1190,1239.9,1182,1207.5,4499525
28-07-2010,MARUTI,1210,1223.7,1200,1202.6,848412
29-07-2010,MARUTI,1205,1214.45,1190.1,1197.75,1600687
30-07-2010,MARUTI,1199,1212.9,1192.55,1198.6,553516
02-08-2010,MARUTI,1211,1218.5,1202.2,1209.9,660849
03-08-2010,MARUTI,1223.45,1224,1210.05,1213.2,461037
04-08-2010,MARUTI,1214,1221,1206.4,1213.6,581630
05-08-2010,MARUTI,1218,1240.95,1217.5,1225.75,875377
06-08-2010,MARUTI,1230,1235.55,1218.5,1221.4,358993
09-08-2010,MARUTI,1216.7,1234,1215.75,1232.1,365489
10-08-2010,MARUTI,1230,1237.95,1222,1227.25,291160
11-08-2010,MARUTI,1227,1234.9,1211.05,1215.2,668240
12-08-2010,MARUTI,1209,1232.7,1203.5,1226,334170
13-08-2010,MARUTI,1230,1254.4,1222.5,1249.15,683945
16-08-2010,MARUTI,1249,1271.8,1245,1256.55,537805
17-08-2010,MARUTI,1260,1267,1245.45,1253.55,311850
18-08-2010,MARUTI,1258.85,1264.15,1251,1254.35,182885
19-08-2010,MARUTI,1261.8,1267.85,1250.05,1251.65,202683
20-08-2010,MARUTI,1248,1257,1238,1239.7,152662
23-08-2010,MARUTI,1240.4,1252.75,1236,1245.1,148100
24-08-2010,MARUTI,1255,1255,1225,1233.05,215635
25-08-2010,MARUTI,1236.4,1242,1216.1,1220.05,198994
26-08-2010,MARUTI,1223.65,1234.75,1212.6,1227.2,962065
27-08-2010,MARUTI,1218,1245,1210.05,1218.7,209560
30-08-2010,MARUTI,1222,1247.8,1222,1235.35,322578
31-08-2010,MARUTI,1234.35,1264.45,1228,1257.5,478908
01-09-2010,MARUTI,1262,1281.15,1262,1272.75,688890
02-09-2010,MARUTI,1276,1291.95,1273.5,1276.7,480517
03-09-2010,MARUTI,1277,1284,1213.65,1272.1,209238
06-09-2010,MARUTI,1280,1313,1277.35,1302.55,446653
07-09-2010,MARUTI,1305,1328.75,1304.45,1315.4,441540
08-09-2010,MARUTI,1319.7,1336.9,1303,1307.5,372456
09-09-2010,MARUTI,1312,1321,1307.5,1314.8,244342
13-09-2010,MARUTI,1325,1333,1314.15,1328.15,235561
14-09-2010,MARUTI,1330.15,1367.9,1330.15,1346.5,1528650
15-09-2010,MARUTI,1349,1380,1348.7,1368.65,1032922
16-09-2010,MARUTI,1360,1405.4,1358.9,1397.3,1238076
17-09-2010,MARUTI,1400,1414.2,1382,1388.35,322006
20-09-2010,MARUTI,1390,1405,1380,1398.9,542217
21-09-2010,MARUTI,1400.05,1417.9,1387.1,1413.1,582679
22-09-2010,MARUTI,1420.25,1470,1420.25,1463.85,1288474
23-09-2010,MARUTI,1465,1470,1444.45,1458.6,494100
24-09-2010,MARUTI,1465,1485,1460.1,1481.75,609319
27-09-2010,MARUTI,1494,1495,1472,1479.1,371002
28-09-2010,MARUTI,1452,1484.6,1452,1468.1,405994
29-09-2010,MARUTI,1452,1481.95,1425.2,1430.05,413917
30-09-2010,MARUTI,1440,1497.25,1390.35,1440.9,457480
01-10-2010,MARUTI,1456,1491.8,1451,1479.95,736838
04-10-2010,MARUTI,1490,1498,1475.3,1480.15,246301
05-10-2010,MARUTI,1486,1524,1478.2,1503.35,620564
06-10-2010,MARUTI,1510,1529,1507,1516.7,361329
07-10-2010,MARUTI,1519.05,1524.4,1485,1490.1,288753
08-10-2010,MARUTI,1492,1507,1472.3,1497.2,208208
11-10-2010,MARUTI,1508.1,1526.25,1495,1517.25,307964
12-10-2010,MARUTI,1519.95,1529,1503.25,1520.05,355625
13-10-2010,MARUTI,1525,1566.8,1518,1558.4,1201084
14-10-2010,MARUTI,1560.05,1574.4,1541.35,1557.4,647855
15-10-2010,MARUTI,1555,1560.55,1481.85,1518.9,597943
18-10-2010,MARUTI,1515,1520,1482.6,1491.55,388544
19-10-2010,MARUTI,1495.05,1515,1481.05,1494.85,243570
20-10-2010,MARUTI,1490,1508,1485,1490.7,151275
21-10-2010,MARUTI,1500,1519,1481.3,1513.65,208642
22-10-2010,MARUTI,1515,1525,1495,1503.3,133665
25-10-2010,MARUTI,1504.9,1525.9,1500.2,1507,151666
26-10-2010,MARUTI,1517.95,1585,1511,1566.8,2316413
