Date,Symbol,Open,High,Low,Close,Volume
22-07-2014,BHARTIART,340,356.8,340,354.15,9764963
23-07-2014,BHARTIART,354.15,356.7,349.75,354.35,5063735
24-07-2014,BHARTIART,354,356,351.15,354.6,2056370
25-07-2014,BHARTIART,355.5,357.9,351.15,354.8,3126528
28-07-2014,BHARTIART,356.5,357,351.2,353.95,3425122
30-07-2014,BHARTIART,358,374.3,358,373.15,11240864
31-07-2014,BHARTIART,374,375.2,370.05,372.9,8283453
1/8/2014,BHARTIART,370.5,387.1,370.05,380.05,8426619
4/8/2014,BHARTIART,382.55,386.6,373,376.9,6531410
5/8/2014,BHARTIART,379.65,380.2,373.5,374.75,3093783
6/8/2014,BHARTIART,375,377.4,365.35,367.65,5248913
7/8/2014,BHARTIART,367,370.95,363.25,365.8,7103871
8/8/2014,BHARTIART,363.85,375.35,361.25,374,5395955
11/8/2014,BHARTIART,376.95,380,372.4,376.45,4166914
12/8/2014,BHARTIART,379.5,379.5,368.8,369.95,3387181
13-08-2014,BHARTIART,371.8,378,365.7,368.6,4585824
14-08-2014,BHARTIART,367.95,369.95,363.2,365.2,2780421
18-08-2014,BHARTIART,364.9,376.5,363,376.3,2650671
19-08-2014,BHARTIART,375.35,384.2,375.35,377.15,4986528
20-08-2014,BHARTIART,380.5,385.95,373.55,374.55,4358523
21-08-2014,BHARTIART,372.6,375,368.4,371.1,2307848
22-08-2014,BHARTIART,370.05,372.4,364.3,365.1,2814687
25-08-2014,BHARTIART,366.9,370.4,365,369.1,2706905
26-08-2014,BHARTIART,368.3,375.7,365.15,369.6,2540609
27-08-2014,BHARTIART,369.5,373.6,365.55,369,3129970
28-08-2014,BHARTIART,368.15,373.2,368.15,369.8,4315121
1/9/2014,BHARTIART,370,378,369.85,375.8,3107500
2/9/2014,BHARTIART,378.6,394.5,375.85,391.6,5981547
3/9/2014,BHARTIART,390.4,408.9,390.4,404.5,12312188
4/9/2014,BHARTIART,405.9,407.95,398.3,404.5,6055962
5/9/2014,BHARTIART,405.55,407.7,395.5,401.1,2753511
8/9/2014,BHARTIART,404.3,407.5,401.55,403.75,3216789
9/9/2014,BHARTIART,399.8,410.95,399.7,406.1,3554074
10/9/2014,BHARTIART,406.95,411.8,403.65,407.75,4638837
11/9/2014,BHARTIART,407.75,413.75,402.1,406.05,7064825
12/9/2014,BHARTIART,406.95,415.6,406.2,414,4162710
15-09-2014,BHARTIART,410.55,414.5,408.15,411.55,3262018
16-09-2014,BHARTIART,411.5,417.55,409.45,412.3,3913376
17-09-2014,BHARTIART,416,418.3,412.05,414.35,3945705
18-09-2014,BHARTIART,413.95,419,411.35,415.9,3283524
19-09-2014,BHARTIART,415.5,420,409.15,414.95,3481287
22-09-2014,BHARTIART,414.5,418.1,409.4,415.15,2150882
23-09-2014,BHARTIART,415,415.15,405.45,406.5,1967045
24-09-2014,BHARTIART,405.1,408.5,395.2,403.15,3131273
25-09-2014,BHARTIART,403.2,418,399.35,406.25,5762594
26-09-2014,BHARTIART,405,408.75,401.55,405.05,3621353
29-09-2014,BHARTIART,403.85,406.9,399.6,403.25,2194904
30-09-2014,BHARTIART,403.25,408.95,401,405.2,3738643
1/10/2014,BHARTIART,404,407.4,401.7,403.2,4183952
7/10/2014,BHARTIART,400,405.55,400,403.4,4891817
8/10/2014,BHARTIART,400,406.5,397.1,399.7,6020242
9/10/2014,BHARTIART,399.1,407.95,399.1,404.95,2861002
10/10/2014,BHARTIART,400.85,402,390.5,392.3,2656346
13-10-2014,BHARTIART,391.7,393.55,380,391.55,4218158
14-10-2014,BHARTIART,392.6,400.3,392.6,398.4,2446930
16-10-2014,BHARTIART,398.4,402.25,384.1,388.15,3873643
17-10-2014,BHARTIART,390,400,390,395.95,4579166
20-10-2014,BHARTIART,400,403.35,398.35,401.7,3290184
21-10-2014,BHARTIART,403.9,415,403.7,410.65,4093622
22-10-2014,BHARTIART,413.9,415,407.2,409.45,2572965
23-10-2014,BHARTIART,411,411.8,407.5,410.25,147416
27-10-2014,BHARTIART,411.1,416.85,411.05,414.55,2483615
28-10-2014,BHARTIART,415,415,400.15,407.7,3071829
29-10-2014,BHARTIART,411,411.5,403.3,405.1,2318074
30-10-2014,BHARTIART,405.6,410,401.45,407.5,5752458
31-10-2014,BHARTIART,412.2,414,396.1,398.9,15235707
3/11/2014,BHARTIART,401.45,403.85,393.5,395.75,5172544
5/11/2014,BHARTIART,399,399.3,382.55,384.55,10701361
7/11/2014,BHARTIART,386.4,392.15,379,390.85,7472243
10/11/2014,BHARTIART,392,395.2,385.9,391.25,3359013
11/11/2014,BHARTIART,392.1,393.4,382.95,385,4153180
12/11/2014,BHARTIART,384.35,389.05,383.5,387.3,2813945
13-11-2014,BHARTIART,389.25,391.95,376,390.9,4637907
14-11-2014,BHARTIART,387.55,394.3,387,388.35,2589236
17-11-2014,BHARTIART,387.8,395,385.2,393.2,2082320
18-11-2014,BHARTIART,394,404.4,391,399.5,7502325
19-11-2014,BHARTIART,401.2,407.8,395.35,401.75,5714750
20-11-2014,BHARTIART,402.5,404.85,393.05,397.75,2968833
21-11-2014,BHARTIART,398.4,402.3,394.75,401.55,2871746
24-11-2014,BHARTIART,401,404.2,396.1,399.45,2569167
25-11-2014,BHARTIART,405.9,407.8,398.5,403.6,5803928
26-11-2014,BHARTIART,402.4,403.2,391.55,393.35,3751109
27-11-2014,BHARTIART,394.2,394.2,383.4,385.4,4778964
